Code CIS ;name;galenic;administration;commercialisation;drugs_class;family ;action ;posology ;recommandations;availibity
61266250;A 313 200 000 UI POUR CENT, pommade;pommade;cutanée;Commercialisée;;;;;;
62869109;A 313 50 000 U.I., capsule molle;capsule molle;orale;Commercialisée;;;;;;
62401060;ABACAVIR MYLAN 300 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Commercialisée;;;;;;
63797011;ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Commercialisée;;;;;;
62828870;ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
63431640;ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
65196479;ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
62170486;ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
67720261;ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
65857902;ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
62202005;ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
63152345;ABACAVIR/LAMIVUDINE/ZIDOVUDINE MYLAN 300 mg/150 mg/300 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
66513085;ABASAGLAR 100 unités/ml, solution injectable en cartouche;solution injectable;sous-cutanée;Commercialisée;;;;;;
64332894;ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli;solution injectable;sous-cutanée;Commercialisée;;;;;;
66207341;ABELCET 5 mg/ml, suspension à diluer pour perfusion;suspension à diluer pour perfusion;intraveineuse;Commercialisée;;;;;;
60386663;ABELMOSCHUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
60538772;ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
